0.00345224 0.0379747 
0.100115 0.144994 
0.179517 0.272727 
0.345224 0.421174 
0.50748 0.624856 
0.728423 0.825086 
0.890679 1.0046 
1.0702 1.16341 
1.24281 1.31185 
1.36018 1.43268 
1.50863 1.55696 
1.64672 1.69505 
1.75374 1.8504 
1.88493 1.9229 
1.95052 2.00575 
2.06099 2.09896 
2.13694 2.19563 
2.21979 2.25777 
2.32681 2.38205 
2.40276 2.41657 
2.42002 2.42348 
2.43728 2.44764 
2.4649 2.47181 
2.49252 2.50288 
2.51323 2.52014 
2.53395 2.54776 
2.54776 2.55121 
2.55811 2.56502 
2.57192 2.57192 
2.57883 2.58918 
2.59609 2.60299 
2.60644 2.6099 
2.6099 2.6099 
2.61335 2.62025 
2.62716 2.63751 
2.64097 2.63751 
2.64097 2.64442 
2.64442 2.64097 
2.64097 2.64097 
2.64097 2.63061 
2.64442 2.64442 
2.64097 17.9679 
17.8966 17.9679 
17.9323 17.8966 
17.8966 17.861 
17.861 17.7184 
17.754 17.754 
17.754 17.7184 
17.861 17.861 
17.7184 17.861 
17.8966 17.861 
17.8966 17.754 
17.7897 17.754 
17.7897 17.861 
17.6114 17.754 
17.7897 17.7184 
17.7897 17.861 
17.754 17.7184 
17.6114 17.4332 
17.2906 17.0766 
16.9697 16.7558 
16.5775 16.4349 
16.328 16.0784 
15.7576 15.4367 
15.0089 14.5098 
14.0463 13.6185 
13.4046 12.7986 
11.9786 11.5865 
11.2299 10.9091 
10.2317 9.87522 
9.48307 8.7344 
8.55615 8.09269 
7.45098 6.84492 
6.38146 5.73975 
5.16934 4.52763 
4.34938 3.92157 
3.70766 3.24421 
2.7451 2.21034 
1.81818 1.42602 
1.14082 1.14082 
1.14082 1.14082 
0.463458 0.356506 
-0.0356506 -0.0356506 
