0.00356718 0.103448 
0.317479 0.560048 
0.841855 1.11653 
1.40547 1.66944 
1.87277 2.12604 
2.24019 2.28656 
2.32224 2.35434 
2.39358 2.41855 
2.44352 2.46849 
2.48633 2.50416 
2.52556 2.53627 
2.54697 2.5648 
2.58977 2.60404 
2.63258 2.64685 
2.66468 2.67182 
2.68609 2.69679 
2.70392 2.71106 
2.71106 2.71819 
17.2642 17.2013 
17.2642 17.2642 
17.2956 17.2013 
17.2013 17.2642 
17.2642 17.2013 
17.1384 17.044 
16.9811 16.8239 
16.5723 16.3836 
15.9119 15.4717 
15 14.5283 
13.8365 13.3019 
12.673 11.8239 
10.6604 9.33962 
7.79874 6.32075 
5.12579 4.21384 
3.1761 2.10692 
1.44654 0.786164 
0.377358 0.0943396 
